question,answer
Microsofts total assets in 2023 amounted to what?,Microsofts total assets in 2023 was $411.98 billion.
Can you provide Microsofts total assets for 2023?,The companys total assets for 2023 stood at $411.98 billion.
How much did Microsoft report for total assets in 2023?,2023 saw Microsofts total assets reach $411.98 billion.
Can you provide Microsofts total assets for 2023?,"For 2023, Microsoft had $411.98 billion in total assets."
What were Microsofts total assets in 2023?,The companys total assets for 2023 stood at $411.98 billion.
What were Microsofts total assets in 2024?,2024 saw Microsofts total assets reach $512.46 billion.
"In 2024, what was Microsofts total assets?",Microsofts total assets in 2024 was $512.46 billion.
"In 2024, what was Microsofts total assets?","In 2024, Microsoft reported $512.46 billion in total assets."
How much did Microsoft report for total assets in 2024?,Microsofts total assets in 2024 was $512.46 billion.
Can you provide Microsofts total assets for 2024?,Microsofts total assets in 2024 was $512.46 billion.
How much did Microsoft report for total liabilities in 2023?,"For 2023, Microsoft had $198.32 billion in total liabilities."
Microsofts total liabilities in 2023 amounted to what?,Microsofts total liabilities in 2023 was $198.32 billion.
Microsofts total liabilities in 2023 amounted to what?,"For 2023, Microsoft had $198.32 billion in total liabilities."
How much did Microsoft report for total liabilities in 2023?,"For 2023, Microsoft had $198.32 billion in total liabilities."
"In 2023, what was Microsofts total liabilities?",The companys total liabilities for 2023 stood at $198.32 billion.
How much did Microsoft report for total liabilities in 2024?,"For 2024, Microsoft had $225.74 billion in total liabilities."
How much did Microsoft report for total liabilities in 2024?,"For 2024, Microsoft had $225.74 billion in total liabilities."
Can you provide Microsofts total liabilities for 2024?,"In 2024, Microsoft reported $225.74 billion in total liabilities."
How much did Microsoft report for total liabilities in 2024?,2024 saw Microsofts total liabilities reach $225.74 billion.
Can you provide Microsofts total liabilities for 2024?,The companys total liabilities for 2024 stood at $225.74 billion.
Microsofts stockholders’ equity in 2023 amounted to what?,"For 2023, Microsoft had $213.66 billion in stockholders’ equity."
Microsofts stockholders’ equity in 2023 amounted to what?,Microsofts stockholders’ equity in 2023 was $213.66 billion.
What were Microsofts stockholders’ equity in 2023?,Microsofts stockholders’ equity in 2023 was $213.66 billion.
Microsofts stockholders’ equity in 2023 amounted to what?,The companys stockholders’ equity for 2023 stood at $213.66 billion.
Can you provide Microsofts stockholders’ equity for 2023?,"For 2023, Microsoft had $213.66 billion in stockholders’ equity."
How much did Microsoft report for stockholders’ equity in 2024?,2024 saw Microsofts stockholders’ equity reach $286.72 billion.
"In 2024, what was Microsofts stockholders’ equity?","In 2024, Microsoft reported $286.72 billion in stockholders’ equity."
How much did Microsoft report for stockholders’ equity in 2024?,"In 2024, Microsoft reported $286.72 billion in stockholders’ equity."
Can you provide Microsofts stockholders’ equity for 2024?,2024 saw Microsofts stockholders’ equity reach $286.72 billion.
How much did Microsoft report for stockholders’ equity in 2024?,2024 saw Microsofts stockholders’ equity reach $286.72 billion.
Microsofts net income in 2023 amounted to what?,Microsofts net income in 2023 was $72.36 billion.
"In 2023, what was Microsofts net income?","For 2023, Microsoft had $72.36 billion in net income."
What were Microsofts net income in 2023?,Microsofts net income in 2023 was $72.36 billion.
Microsofts net income in 2023 amounted to what?,"For 2023, Microsoft had $72.36 billion in net income."
"In 2023, what was Microsofts net income?","For 2023, Microsoft had $72.36 billion in net income."
What were Microsofts net income in 2024?,Microsofts net income in 2024 was $88.84 billion.
How much did Microsoft report for net income in 2024?,"In 2024, Microsoft reported $88.84 billion in net income."
Can you provide Microsofts net income for 2024?,"For 2024, Microsoft had $88.84 billion in net income."
How much did Microsoft report for net income in 2024?,The companys net income for 2024 stood at $88.84 billion.
How much did Microsoft report for net income in 2024?,Microsofts net income in 2024 was $88.84 billion.
How much did Microsoft report for revenue in 2023?,"For 2023, Microsoft had $211.91 billion in revenue."
What were Microsofts revenue in 2023?,Microsofts revenue in 2023 was $211.91 billion.
"In 2023, what was Microsofts revenue?","For 2023, Microsoft had $211.91 billion in revenue."
"In 2023, what was Microsofts revenue?",The companys revenue for 2023 stood at $211.91 billion.
Microsofts revenue in 2023 amounted to what?,The companys revenue for 2023 stood at $211.91 billion.
How much did Microsoft report for revenue in 2024?,"For 2024, Microsoft had $245.87 billion in revenue."
What were Microsofts revenue in 2024?,2024 saw Microsofts revenue reach $245.87 billion.
"In 2024, what was Microsofts revenue?","For 2024, Microsoft had $245.87 billion in revenue."
"In 2024, what was Microsofts revenue?",2024 saw Microsofts revenue reach $245.87 billion.
